Fecha,GSPC.Open,GSPC.High,GSPC.Low,GSPC.Close,GSPC.Volume,GSPC.Adjusted
31/01/2000,1360.160034,1394.47998,1350.140015,1394.459961,993800000,1394.459961
29/02/2000,1348.050049,1369.630005,1348.050049,1366.420044,1204300000,1366.420044
31/03/2000,1487.920044,1519.810059,1484.380005,1498.579956,1227400000,1498.579956
30/04/2000,1464.920044,1473.619995,1448.150024,1452.430054,984600000,1452.430054
31/05/2000,1422.439941,1434.48999,1415.5,1420.599976,960500000,1420.599976
30/06/2000,1442.390015,1454.680054,1438.709961,1454.599976,1459700000,1454.599976
31/07/2000,1419.890015,1437.650024,1418.709961,1430.829956,952600000,1430.829956
31/08/2000,1502.589966,1525.209961,1502.589966,1517.680054,1056600000,1517.680054
30/09/2000,1458.290039,1458.290039,1436.290039,1436.51001,1197100000,1436.51001
31/10/2000,1398.660034,1432.219971,1398.660034,1429.400024,1366400000,1429.400024
30/11/2000,1341.910034,1341.910034,1294.900024,1314.949951,1186530000,1314.949951
31/12/2000,1334.219971,1340.099976,1317.51001,1320.280029,1035500000,1320.280029
31/01/2001,1373.72998,1383.369995,1364.660034,1366.01001,1295300000,1366.01001
28/02/2001,1257.939941,1263.469971,1229.650024,1239.939941,1225300000,1239.939941
31/03/2001,1147.949951,1162.800049,1143.829956,1160.329956,1280800000,1160.329956
30/04/2001,1253.050049,1269.300049,1243.98999,1249.459961,1266800000,1249.459961
31/05/2001,1248.079956,1261.910034,1248.069946,1255.819946,1226600000,1255.819946
30/06/2001,1226.199951,1237.290039,1221.140015,1224.380005,1832360000,1224.380005
31/07/2001,1204.52002,1222.73999,1204.52002,1211.22998,1129200000,1211.22998
31/08/2001,1129.030029,1141.829956,1126.380005,1133.579956,920100000,1133.579956
30/09/2001,1018.609985,1040.939941,1018.609985,1040.939941,1631500000,1040.939941
31/10/2001,1059.790039,1074.790039,1057.550049,1059.780029,1352500000,1059.780029
30/11/2001,1140.199951,1143.569946,1135.890015,1139.449951,1343600000,1139.449951
31/12/2001,1161.02002,1161.160034,1148.040039,1148.079956,943600000,1148.079956
31/01/2002,1113.569946,1130.209961,1113.300049,1130.199951,1.56E+09,1130.199951
28/02/2002,1109.890015,1121.569946,1106.72998,1106.72998,1392200000,1106.72998
31/03/2002,1144.579956,1154.449951,1144.579956,1147.390015,1147600000,1147.390015
30/04/2002,1065.449951,1082.619995,1063.459961,1076.920044,1628600000,1076.920044
31/05/2002,1064.660034,1079.930054,1064.660034,1067.140015,1277300000,1067.140015
30/06/2002,990.640015,1001.789978,988.309998,989.820007,2.12E+09,989.820007
31/07/2002,902.780029,911.640015,889.880005,911.619995,2049360000,911.619995
31/08/2002,917.799988,928.150024,910.169983,916.070007,929900000,916.070007
30/09/2002,827.369995,827.369995,800.200012,815.280029,1721870000,815.280029
31/10/2002,890.710022,898.830017,879.75,885.76001,1641300000,885.76001
30/11/2002,938.869995,941.820007,935.580017,936.309998,643460000,936.309998
31/12/2002,879.390015,881.929993,869.450012,879.820007,1088500000,879.820007
31/01/2003,844.609985,858.330017,840.340027,855.700012,1578530000,855.700012
28/02/2003,837.280029,847,837.280029,841.150024,1373300000,841.150024
31/03/2003,863.5,863.5,843.679993,848.179993,1495500000,848.179993
30/04/2003,917.840027,922.01001,911.700012,916.919983,1788510000,916.919983
31/05/2003,949.640015,965.380005,949.640015,963.590027,1688800000,963.590027
30/06/2003,976.219971,983.609985,973.599976,974.5,1587200000,974.5
31/07/2003,987.48999,1004.590027,987.48999,990.309998,1.61E+09,990.309998
31/08/2003,1002.840027,1008.849976,999.52002,1008.01001,945100000,1008.01001
30/09/2003,1006.580017,1006.580017,990.359985,995.969971,1590500000,995.969971
31/10/2003,1046.939941,1053.089966,1046.939941,1050.709961,1498900000,1050.709961
30/11/2003,1058.449951,1060.630005,1056.77002,1058.199951,487220000,1058.199951
31/12/2003,1109.640015,1112.560059,1106.209961,1111.920044,1027500000,1111.920044
31/01/2004,1134.109985,1134.170044,1127.72998,1131.130005,1.64E+09,1131.130005
29/02/2004,1145.800049,1151.680054,1141.800049,1144.939941,1540400000,1144.939941
31/03/2004,1127,1130.829956,1121.459961,1126.209961,1560700000,1126.209961
30/04/2004,1113.890015,1119.26001,1107.22998,1107.300049,1634700000,1107.300049
31/05/2004,1121.280029,1122.689941,1118.099976,1120.680054,1172600000,1120.680054
30/06/2004,1136.199951,1144.199951,1133.619995,1140.839966,1473800000,1140.839966
31/07/2004,1100.430054,1103.72998,1096.959961,1101.719971,1298200000,1101.719971
31/08/2004,1099.150024,1104.23999,1094.719971,1104.23999,1138200000,1104.23999
30/09/2004,1114.800049,1116.310059,1109.680054,1114.579956,1.75E+09,1114.579956
31/10/2004,1127.439941,1131.400024,1124.619995,1130.199951,1500800000,1130.199951
30/11/2004,1178.569946,1178.660034,1173.810059,1173.819946,1553500000,1173.819946
31/12/2004,1213.550049,1217.329956,1211.650024,1211.920044,786900000,1211.920044
31/01/2005,1171.359985,1182.069946,1171.359985,1181.27002,1679800000,1181.27002
28/02/2005,1211.369995,1211.369995,1198.130005,1203.599976,1795480000,1203.599976
31/03/2005,1181.410034,1184.530029,1179.48999,1180.589966,2214230000,1180.589966
30/04/2005,1143.219971,1156.969971,1139.189941,1156.849976,2362360000,1156.849976
31/05/2005,1198.780029,1198.780029,1191.5,1191.5,1840680000,1191.5
30/06/2005,1199.849976,1203.27002,1190.51001,1191.329956,2109490000,1191.329956
31/07/2005,1243.719971,1245.040039,1234.180054,1234.180054,1789600000,1234.180054
31/08/2005,1208.410034,1220.359985,1204.400024,1220.329956,2365510000,1220.329956
30/09/2005,1227.680054,1229.569946,1225.219971,1228.810059,2097520000,1228.810059
31/10/2005,1198.410034,1211.430054,1198.410034,1207.01001,2567470000,1207.01001
